#lang,articles,pages,files,edits,users,admins
nl,1149945,2445400,20,35442051,513061,61
nds-nl,5066,13928,1136,273758,9293,7
dz,180,1287,1,25617,3301,0
cdo,427,2761,46,33539,6686,2
mh,10,164,2,4090,1701,0
arz,9806,70876,1516,566674,37783,6
eml,1963,10027,538,68942,6405,5
en,4168223,29484787,802801,593929530,18444225,1452
myv,1519,3702,18,73132,3832,3
et,106804,270074,3404,3564247,56672,37
ee,294,5802,0,42340,4254,4
ext,2215,5149,3,102206,6271,2
fo,5935,16298,533,269530,8779,8
hif,10983,19977,166,184104,7626,1
fj,264,1454,0,31534,3212,0
fi,316893,850636,31908,13407694,227214,49
frp,2214,4988,27,182962,5298,3
fr,1353319,5621630,39713,88756822,1494945,185
fur,3055,6515,411,156328,5511,2
ff,158,1381,1,19194,2811,2
gl,98740,211004,9604,2913833,42954,10
gan,6119,31634,259,386591,16363,2
ka,71636,198484,9371,2414660,49759,10
de,1552369,4331834,166457,119625760,1604110,268
ki,328,1461,0,15409,2585,0
glk,5999,10973,855,39963,5038,2
got,431,3355,15,27841,6625,2
el,85161,220182,8459,3999674,120485,21
kl,1591,4449,1,66869,4924,2
gn,2215,6316,10,87446,5477,2
gu,22444,40615,328,283006,15004,6
ht,53198,60643,68,661422,10195,1
hak,2348,4946,18,81193,8587,1
ha,282,1557,0,26032,3377,2
haw,1858,4253,1,64742,5272,1
he,143416,592076,38166,14537097,193632,32
hz,0,118,0,4317,3049,0
hi,104837,397341,2421,2208715,83718,4
ho,3,75,0,3625,1242,0
hu,234610,801377,41148,13613313,223252,36
is,35393,94611,3040,1415615,31217,24
io,24598,34993,98,868427,13183,5
ig,696,3798,9,52232,3944,2
ilo,6090,15733,141,178827,5293,3
id,205093,943793,36366,7423684,438165,21
iu,386,3495,4,35173,6241,2
ik,161,1802,0,31487,2818,1
ga,18727,37270,1251,664344,16146,8
it,1008355,3233839,113997,61239988,852393,107
ja,846439,2319599,79594,47252295,707516,56
jv,42858,94142,4807,817858,16992,9
kab,1230,4580,104,51358,3616,1
csb,3185,6218,142,159895,5963,5
xal,1880,7448,6,72462,3874,3
kn,12794,33414,2641,326753,14251,6
kr,1,83,0,4393,4371,0
pam,7759,16378,873,268578,7345,2
kaa,621,2277,12,32849,3496,1
ks,227,2084,1,26722,3405,3
kk,201949,465403,7688,1791101,22330,11
km,3482,17720,1004,123665,10545,11
rw,1815,4658,0,70727,3692,0
rn,188,1130,0,17000,2871,0
kv,3724,8720,222,115702,4928,1
kg,725,2849,0,36730,3251,1
ko,230787,746478,11784,11769607,217384,28
ku,19513,45118,666,586081,16652,7
kj,5,69,0,3424,1103,0
ky,24308,35830,2459,152391,7024,5
lad,3207,9728,58,149335,7246,7
lbe,1191,7099,12,36470,3395,0
lo,854,5130,21,39993,4738,2
la,86570,163391,1,2455135,54693,14
lv,46968,189363,13590,1997265,37626,18
lij,3110,9678,124,150973,4693,2
li,7198,22161,683,350123,9969,5
ln,2015,6411,26,106654,4105,2
lt,157279,338849,15816,4442293,67078,24
jbo,1153,5896,14,106277,5757,6
lmo,28301,70156,4286,964905,11242,7
nds,20274,48737,0,711111,18529,6
dsb,1570,6761,18,117311,6809,3
lg,166,1467,0,16298,2248,2
lb,38071,77868,3238,1528184,20580,8
mk,68349,1034784,6107,2978454,41255,17
mg,45128,179525,52,615970,5768,5
ms,186541,389895,13537,3064053,109030,16
ml,28904,197096,2974,1747116,45406,20
dv,3656,10339,1114,117696,10191,3
mt,2728,12544,1197,219493,7466,5
gv,4275,16052,322,280377,7057,2
mi,7026,12314,13,139415,5028,10
mr,38316,124684,4815,1174138,32013,10
mzn,10319,20539,236,106375,6156,3
zh-min-nan,10922,28019,419,440968,16593,8
mdf,1136,3859,77,43849,3246,2
mo,401,2339,31,9986,2122,0
mn,8824,24326,665,339671,21778,8
mus,2,77,0,3495,1592,0
nah,9034,18404,210,377237,8742,6
na,730,4030,1,71407,3865,4
nv,2423,12355,326,144541,5801,3
nap,13652,26360,372,659013,9695,6
new,69903,188445,73,750020,9235,1
ne,22619,50500,155,320747,11988,8
nrm,3533,7685,5,208467,5156,3
nn,95751,227305,198,2431577,47625,30
nov,2644,4654,10,174350,4041,3
ii,16,158,3,11518,1510,0
ie,2036,4444,11,111633,5103,2
oc,71381,121054,1291,1882779,15818,6
cu,509,3854,2,66043,9779,3
or,3376,21405,60,125151,4697,4
om,274,2630,5,18052,2660,1
os,8814,32880,440,439808,9871,3
ng,21,426,1,5906,1718,0
pi,2807,4193,1,97850,2444,0
pag,3829,5713,43,47633,2874,1
pap,1323,3236,4,69356,4343,1
ps,4660,11958,1085,147983,7103,7
pdc,1818,4852,159,97466,12024,3
fa,299966,1474900,23659,13484088,329683,27
pms,58850,84957,2184,738055,9787,9
pih,380,1434,2,37107,3500,1
pl,951259,1855976,0,35289408,540371,152
pnt,373,1632,3,33041,3484,4
pt,770939,3134097,21345,35003714,1105780,37
pa,5300,17336,228,122580,5556,1
qu,17708,47515,83,613869,10523,2
ksh,2658,9492,111,2114260,10400,6
rmy,539,2207,6,45506,6681,1
ro,223545,926558,27562,7747086,250847,23
rm,3425,7696,52,136280,6566,3
sah,8729,23971,1799,295790,7214,3
se,7240,15256,55,251776,9308,5
sm,425,2767,1,30705,2944,0
bat-smg,13417,23313,696,314176,10399,7
sg,194,1309,2,18835,2411,1
sa,8879,21373,61,226906,8456,7
sc,2829,8940,177,125551,6523,2
stq,2585,7247,492,107436,4937,4
sco,13370,41913,265,356139,16675,6
gd,11242,18920,545,428323,8948,9
sr,180864,580953,20205,6962383,118074,18
sh,77770,197851,3575,1516430,51217,12
sn,1352,3232,3,33776,3609,0
scn,22856,51308,1543,692797,15456,9
szl,2101,8737,2,209791,7862,3
simple,96056,280101,23,5437853,290717,24
sd,365,3831,19,27101,3467,1
si,7145,37276,3690,251642,13532,3
sk,181724,380606,18,5185095,85202,9
sl,136289,293366,6348,3990686,106313,33
so,2648,7766,147,118072,7151,3
st,151,2192,0,15046,3347,1
es,970575,4068943,0,68663222,2527052,131
srn,1027,2391,0,36354,2569,1
su,17407,35352,572,428800,9506,5
sw,25160,65107,1918,913061,14860,10
ss,364,1629,4,34396,2825,2
sv,799966,2035262,0,20605802,315396,88
tl,60745,182753,1895,1322274,43464,11
ty,881,3006,1,44132,2865,3
tg,10676,19799,302,328629,8578,4
ta,51524,142873,8812,1385733,48160,29
roa-tara,9165,16509,301,124857,4435,5
tt,16960,48348,1709,697746,11804,4
te,51213,118751,7652,816677,29092,18
tet,770,2022,1,52075,3009,3
th,79046,391186,27250,4930236,164779,18
bo,6064,14617,284,126379,8798,1
ti,257,1217,1,17307,2827,0
tpi,1221,5807,3,74468,4664,3
to,1652,5962,450,32198,3389,1
ts,240,1558,0,26507,2987,1
tn,494,1808,1,17904,3032,3
tum,167,1121,0,20732,2315,0
tr,204899,1026868,27675,13665214,459423,26
tk,4680,10502,297,184585,7289,1
tw,154,1002,0,14435,3897,1
udm,3119,7501,106,93926,4911,3
uk,430765,1312982,37925,12015244,167124,27
hsb,7687,19342,239,296225,9588,4
ur,22986,91130,3771,747682,24165,13
ug,2907,8111,558,133851,7304,2
uz,81006,423097,266,1273098,12090,6
ve,194,1172,0,14993,2389,0
vec,9909,29732,736,535337,10858,5
vi,576622,1600658,16922,10245614,319736,27
vo,119091,247361,0,3152437,15671,6
fiu-vro,5089,8842,253,167326,5017,3
wa,12671,32574,2221,300372,8321,3
war,125934,192910,274,1863538,14688,2
cy,40935,96114,3730,1935272,24002,17
vls,4623,14274,572,268688,8817,5
fy,25968,52076,4962,653458,13773,9
wo,1131,5213,72,95439,5626,4
wuu,5010,12189,431,197885,23378,2
xh,144,1355,0,22730,3190,0
yi,9958,32260,1437,470928,15924,3
yo,30499,52077,213,492905,8875,2
zh-yue,22288,71208,668,792147,69882,11
diq,4495,16161,292,302358,8456,3
zea,3660,6383,6,85135,4203,5
za,662,1858,0,34551,3312,0
zu,571,3263,2,32087,5370,0
eo,176088,381845,7907,5007466,79173,22
ia,13897,23419,22,511834,16317,10
ru,969144,3279021,144496,60102647,1000141,93
