"26,bm,Bamanankan,http://bm.wikipedia.org,Bambara ,""Mali, Senegal, Mauritania, Guinea, Ivory Coast"",Mali,2.8 Million"
"142,map-bms,Basa Banyumasan,http://map-bms.wikipedia.org,Banyumasan ,""Western "
"Part of Central Java (Indonesia)"",,15 Million"
"17,ba,Башҡорт,http://ba.wikipedia.org,Bashkir ,""Russia, Kazakhstan"",Russia (Bashkortostan),1.45 Million"
"64,eu,Euskara,http://eu.wikipedia.org,Basque,""Spain, France"",""Spain (Basque Country), France (Navarre)"",715 Thousand"
"18,bar,Boarisch,http://bar.wikipedia.org,Bavarian,""Germany, Austria"",,13 Million"
"21,be,Беларуская,http://be.wikipedia.org,Belarusian ,""Belarus, Poland, Ukraine"",""Belarus, Poland"",7.6 Million"
"27,bn,বাংলা,http://bn.wikipedia.org,Bengali ,""Bangladesh, India"",""Bangladesh, India"",200 Million"
"24,bh,भोजपुरी,http://bh.wikipedia.org,Bhojpuri ,""India, Nepal, Mauritius, Suriname"",,38.5 Million"
"29,bpy,ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী,http://bpy.wikipedia.org,Bishnupriya ,""India, Bangladesh, Myanmar"",,115 thousand"
25,bi,Bislama,http://bi.wikipedia.org,Bislama,Vanuatu,Vanuatu,206 Thousand
"168,no,‪Norsk (bokmål)‬,http://no.wikipedia.org,Bokmål,""Norway, Denmark"",,4 Million"
"31,bs,Bosanski,http://bs.wikipedia.org,Bosnian,""Bosnia, Serbia, Montenegro, Kosovo, Croatia"",""Albania, Serbia,Macedonia, Kosovo, Bosnia and Herzegovina, Montenegro"",3.5 million "
30,br,Brezhoneg,http://br.wikipedia.org,Breton ,France,,206 thousand
32,bug,ᨅᨔ ᨕᨘᨁᨗ,http://bug.wikipedia.org,Buginese ,Indonesia (Sulawesi),,3.5 Million
"23,bg,Български,http://bg.wikipedia.org,Bulgarian ,""Bulgaria, Turkey, Serbia, Greece, Ukraine, Moldova, Romania, Albania, Kosovo, Republic of Macedonia "","" Baulgaria, EU, Romania, Ukraine, Serbia"",9.1 Million"
"155,my,Myanmasa,http://my.wikipedia.org,Burmese ,""Myanmar, Thailand, Malaysia, Singapore"",,43 Million"
"33,bxr,Буряад,http://bxr.wikipedia.org,Buryat ,""Russia (Buryat Republic and other), Mongolia, China (Hulubuir)"",,500 Thousand"
"34,ca,Català,http://ca.wikipedia.org,Catalan,""Andorra, France, Italy, Spain"",""Andorra, Spain (Catalonia, Valencia, Balearic Islands), Italy (Sardinia)"",11.5 Million"
38,ceb,Cebuano,http://ceb.wikipedia.org,Cebuano,Phillippines,Phillippines,21 Million
20,bcl,Bikol Central,http://bcl.wikipedia.org,Central Bikol,Phillippines,,2.5 Million
"39,ch,Chamoru,http://ch.wikipedia.org,Chamorro,""Nothern Mariana Islands, Guam"",""Nothern Mariana Islands, Guam"",60 Thousand"
"35,cbk-zam,Chavacano de Zamboanga,http://cbk-zam.wikipedia.org,Chavacano ,""Phillippines, Malaysia"",""Phillippines (Zamboanga and Basilan), Malaysia (Sabah)"",2.5 Million "
37,ce,Нохчийн,http://ce.wikipedia.org,Chechen ,Russia (Chechnya),,1.34 Million
"41,chr,ᏣᎳᎩ,http://chr.wikipedia.org,Cherokee,""U.S. (Oklahoma, North Carolina)"",,16.4 Thousand"
"173,ny,Chi-Chewa,http://ny.wikipedia.org,Chewa ,""Zambia, Malawi, Mozambique, Zimbabwe"",,""11,5 Million"""
"42,chy,Tsetsêhestâhese,http://chy.wikipedia.org,Cheyenne,""U.S. (Montana, Oklahoma)"",,1.7 Thousand"
"263,zh,中文,http://zh.wikipedia.org,Chinese ,""People's Republic of China, Taiwan, Singapore, Malaysia, the United States, Canada, the Philippines, Australia, Thailand, Vietnam, Indonesia, Mauritius, Peru, Cuba, Panama, Brazil Spain, UK, France, Germany, Italy, Netherlands, Russia, South Africa, Angola, India, New Zealand, Japan, South Korea, Myanmar, Laos "",,approximately 1.4~1.6 billion"
"40,cho,Choctaw,http://cho.wikipedia.org,Choctaw,""U.S. (Oklahoma, Mississippi, Lousiana, Tennessee)"",,18 Thousand"
49,cv,Чăвашла,http://cv.wikipedia.org,Chuvash,Russia,Russia (Chuvashia),1.64 Million
264,zh-classical,文言,http://zh-classical.wikipedia.org,Classical Chinese,mainland China; Taiwan; Japan; Korea and Vietnam,,ca. 700 BC – 200 AD; continued as a literary language until the 20th century
"128,kw,Kernewek,http://kw.wikipedia.org,Cornish,United Kingdom,Region Cornwall,""3,5 Thousand"""
"43,co,Corsu,http://co.wikipedia.org,Corsican,""France, Italy"",France (Corsica),402 Thousand"
"44,cr,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,http://cr.wikipedia.org,Cree,""U.S., Canada"",Canada (Northwest Territories),117.4 Thousand"
"45,crh,Qırımtatarca,http://crh.wikipedia.org,Crimean Tatar,""Ukraine, Uzbekistan, Romania, Bulgaria, Turkey"",,480 Thousand"
"92,hr,Hrvatski,http://hr.wikipedia.org,Croatian,""Croatia, Bosnia and Herzegovina, Serbia (Vojvodina), Montenegro, Romania (Caraş-Severin County), Slovenia, and diaspora, Austria,Italy"",""Croatia, Bosnia and Herzegovina, Serbia (Vojvodina), Montenegro, Romania (Caraş-Severin County), Slovenia, and diaspora, Austria,Italy"",""5,55 Million"""
"46,cs,Česky,http://cs.wikipedia.org,Czech,""Czech Republic, Serbia, Romania, Slovakia"",""Czech Republic, Slovakia, EU"",10 Million"
"51,da,Dansk,http://da.wikipedia.org,Danish,""Denmark, Faroe Islands, Greenland, Germany"",""Denmark, Faroe Islands, Greenland, Germany (Schleswig-Holstein), EU"",5.6 Million"
"166,nl,Nederlands,http://nl.wikipedia.org,Dutch ,""Netherlands, Belgium, and Suriname, also in Aruba, Curaçao, and Sint Maarten, as well as Australia, Canada, France (French Flanders), Germany, Indonesia, South Africa, United States.Union of South American "
"Nations, EU"",,21 Million not including Africaans"
"162,nds-nl,Nedersaksisch,http://nds-nl.wikipedia.org,Dutch Low Saxon,""Languages of the NetherlandsDutch "
"dialectsMeuse-Rhenish"",,"
"56,dz,ཇོང་ཁ,http://dz.wikipedia.org,Dzongkha,""Bhutan, India"",Bhutan,640 Thousand"
"36,cdo,Mìng-dĕ̤ng-ngṳ̄,http://cdo.wikipedia.org,Eastern Min,""China, Vietnam, U.S. (New York City)"",,9.5 Million"
145,mh,Ebon,http://mh.wikipedia.org,Ebon,Marshall Islands,,714 People
"11,arz,مصرى,http://arz.wikipedia.org,Egyptian Arabic,""Egypt, Gulf state with large Egyptian communities"",,54 Million"
"59,eml,Emiliàn e rumagnòl,http://eml.wikipedia.org,Emiliano-Romagnolo,""Italy, San Marino"",,???"
"60,en,English,http://en.wikipedia.org,English,""Antigua and Barbuda, Bahamas, Barbados, Belize, Botswana, Cameroon, Canada, Dominica, Eritrea, Ethopia, Fed. States of Micronesia, Fiji, Ghana, Grenada, Guyana, India, Ireland, Jamaica, Kenya, Netherlands, Kiribati, Lesotho, Liberia, Malawi, Malta, Marshall Islands, Mauritius, Namibia, Nauru, New Zealand, Nigeria, Pakistan, Palau, Papua New Guinea, Phillippines, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Seychelles, Sierra Leone, Singapore, Solomon Islands, South Africa, Sudan, Swaziland, Tanzania, Gambia, Tonga, Trinidad and Tobago, Tuvalu, Uganda, Vanuatu, Zambia, Zimbawe, U.S., Australia, U.K., American Samoa, Anguilla, Bermuda, British Virgin Islands, Christmas Islands, Cocos Islands, Cook Islands, Falkland Islands, Gibralta, Guam, Guernsey, Hong Kong, Isle of Man, Jersey, Montserrat, Niue, Norfolk Islands, Nothern Mariana Islands, Pitcairn Islands, Puerto Rico, Saint Helena, Sint Maarten, San Andresy Provincia, Tokelau, Turks and Caicos Islands, U.S. Virgin Island,"",""Antigua and Barbuda, Bahamas, Barbados, Belize, Botswana, Cameroon, Canada, Dominica, Eritrea, Ethopia, Fed. States of Micronesia, Fiji, Ghana, Grenada, Guyana, India, Ireland, Jamaica, Kenya, Netherlands, Kiribati, Lesotho, Liberia, Malawi, Malta, Marshall Islands, Mauritius, Namibia, Nauru, New Zealand, Nigeria, Pakistan, Palau, Papua New Guinea, Phillippines, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Seychelles, Sierra Leone, Singapore, Solomon Islands, South Africa, Sudan, Swaziland, Tanzania, Gambia, Tonga, Trinidad and Tobago, Tuvalu, Uganda, Vanuatu, Zambia, Zimbawe, U.S., Australia, U.K., American Samoa, Anguilla, Bermuda, British Virgin Islands, Christmas Islands, Cocos Islands, Cook Islands, Falkland Islands, Gibralta, Guam, Guernsey, Hong Kong, Isle of Man, Jersey, Montserrat, Niue, Norfolk Islands, Nothern Mariana Islands, Pitcairn Islands, Puerto Rico, Saint Helena, Sint Maarten, San Andresy Provincia, Tokelau, Turks and Caicos Islands, U.S. Virgin Island,"",1.8 Billion"
"langID,Kürzel,language name in the language,URL,English translation,""Areas, Countries"",acknowledged language in,speakers"
"156,myv,Эрзянь,http://myv.wikipedia.org,Erzya ,""Russia Mordovia, Nizhny "
"Novgorod, Chuvashia, Ulyanovsk, Samara, Penza, Saratov, Orenburg, Tatarstan, Bashkortostan"",,697 Thousand"
"63,et,Eesti,http://et.wikipedia.org,Estonian,"",Estonia, "",""Estonia, EU"",1.05 Million"
"57,ee,Eʋegbe,http://ee.wikipedia.org,Ewe,""Ghana, Togo"",,3.1 Million"
65,ext,Estremeñu,http://ext.wikipedia.org,Extremaduran,Spain,Spain (Autonomous community of Extremadura,200 Thousand
"71,fo,Føroyskt,http://fo.wikipedia.org,Faroese,""Faroe Islands, Denmark"",""Faroe Islands, Denmark"",70 Thousand"
"90,hif,Fiji Hindi,http://hif.wikipedia.org,Fiji Hindi,"" Fiji,Canada,Australia,New Zealand, "
"USA"","" Fiji,Canada,Australia,New Zealand, "
"USA"",460 Thousand"
70,fj,Na Vosa Vakaviti,http://fj.wikipedia.org,Fijian,Fiji,,340 Thousand
"68,fi,Suomi,http://fi.wikipedia.org,Finnish,""Finland, Estonia, Norway, Sweden"",""Finland, EU, Sweden, Russian Federation (Republic of Karelia)"",5 Million"
"73,frp,Arpetan,http://frp.wikipedia.org,Franco-Provencal,""Italy, France, Switzerland"",,113 Thousand"
"72,fr,Français,http://fr.wikipedia.org,French,"" Democratic Republic of the Congo, France, Canada, Madagascar, Cameroon, Ivory Coast, Burkina Faso, Niger, Senegal, Mali, Rwanda, Belgium,  Guinea, Chad, Haiti, Burundi, Benin, Switzerland, Togo, Central African Republic, Republic of the Congo, Comoros,  Equatorial Guinea,  Djibouti, Luxembourg, Vanuatu,  Seychelles,  Monaco,  Pondicherry.  French Polynesia, New Caledonia,  Jersey, Guernsey,  Saint Martin, Wallis and Futuna,  Saint Barthélemy, Saint Pierre and Miquelon, French Southern and Antarctic Lands, Clipperton, Morocco, Algeria, Tunesia, Lebanon, Mauritania, Mauritius, Andorra, EU            "",""Democratic Republic of the Congo, France, Canada, Madagascar, Cameroon, Ivory Coast, Burkina Faso, Niger, Senegal, Mali, Rwanda, Belgium,  Guinea, Chad, Haiti, Burundi, Benin, Switzerland, Togo, Central African Republic, Republic of the Congo, Comoros,  Equatorial Guinea,  Djibouti, Luxembourg, Vanuatu,  Seychelles,  Monaco,  Pondicherry.  French Polynesia, New Caledonia,  Jersey, Guernsey,  Saint Martin, Wallis and Futuna,  Saint Barthélemy, Saint Pierre and Miquelon, French Southern and Antarctic Lands, Clipperton     "",220 Million"
74,fur,Furlan,http://fur.wikipedia.org,Friulian,Italy,,1 Million
"67,ff,Fulfulde,http://ff.wikipedia.org,Fula,""Mauritania, Senegal, Mali, Guinea, Burkina Faso, Niger, Nigeria, Cameroon, Gambia, Chad, Sierra Leone, Benin, Guinea-Bissau, Sudan, Central African Republic, Ivory Coast, Ghana, Togo, Liberia, Gabon"",,24 Million"
"79,gl,Galego,http://gl.wikipedia.org,Galician,""Spain, "",""Spain Region Asturias, Castile and Leon"",""3,2 Million"""
77,gan,贛語,http://gan.wikipedia.org,Gan Chinese,China,China,22 Million
"112,ka,ქართული,http://ka.wikipedia.org,Georgian,""Georgia (Including Abkhazia and South Ossetia)"
"Russia, United States, Israel, Ukraine, Turkey, Iran, Azerbaijan"",""Georgia (Including Abkhazia and South Ossetia)"
"Russia, United States, Israel, Ukraine, Turkey, Iran, Azerbaijan"",6-7 Million"
"52,de,Deutsch,http://de.wikipedia.org,German,""Germany, Austria, Schwitzerland, Italy, Liechtenstein, Luxembourg, Belgium, Czech Republic, Denkmark, Hungary, Kazakhstan, Namibia, Poland, Romania, Russia, Slovakia, Brazil, Vatican City, Argentina, Canada, U.S., Mexico, Australia, South Africa, Chile, Paraguay, New Zealand, Venezuela, Jordan"",""Germany, Austria, Schwitzerland, Italy (South Tyrol), Liechtenstein, Luxembourg, Belgium, Czech Republic, Denkmark, Hungary, Kazakhstan, Namibia, Poland, Romania, Russia, Slovakia (Krahule/Blaufuß), Brazil (Pomerode), Vatican City, EU"",200 Million"
"116,ki,Gĩkũyũ,http://ki.wikipedia.org,Gikuyu,Kenya,Region Central Province,""7,2 Million"""
"80,glk,گیلکی,http://glk.wikipedia.org,Gilaki,""Iran, Southwest Coast of the Caspian Sea "",""Iran, Province of Gilan and Mazandaran"",""3,3 Million"""
"82,got,got,http://got.wikipedia.org,Gothic,""Gallia Narbonensis, Gallia Aquitania, Hispania, Crimea.Oium, Dacia, Pannonia, Italy,"",,"
"58,el,Ελληνικά,http://el.wikipedia.org,Greek,""Greece, Cyprus, Italy, Turkey, Georgia, Albania, Egypt, Romania, France, Ukraine, Armenia"",""Greece, Cyprus, Albania, Italy, Armenia, Romania, Turkey, Ukraine, EU"",12 Million"
"119,kl,Kalaallisut,http://kl.wikipedia.org,Greenlandic,""Greenland, Kingdom of Denmark"",,58 Thousand"
"81,gn,Avañe'ẽ,http://gn.wikipedia.org,Guarani,""Argentina, Brazil, Paraguay, Bolivia"",""Argentina, Brazil, Paraguay, Bolivia"",""4,85 Million"""
83,gu,ગુજરાતી,http://gu.wikipedia.org,Gujarati,India,India Region Gujarat,49 Million
"94,ht,Kreyòl ayisyen,http://ht.wikipedia.org,Haitian Creole,""Haiti, Dominican Republic"",""Haiti, Dominican Republic"",""9,6 Million"""
"86,hak,Hak-kâ-fa,http://hak.wikipedia.org,Hakka Chinese,""Mainland China, Thailand, Malaysia, Taiwan, Japan, Singapore, Philippines, Indonesia, Mauritius,Suriname, South Africa, India"",""Mainland China, Thailand, Malaysia, Taiwan, Japan, Singapore, Philippines, Indonesia, Mauritius,Suriname, South Africa, India"",31 Million"
"85,ha,هَوُسَ,http://ha.wikipedia.org,Hausa,""Niger, Nigeria, Côte d'Ivoire, Benin, Ghana, Cameroon, Sudan"",""Niger, Nigeria, Côte d'Ivoire, Benin, Ghana, Cameroon, Sudan"",52 Million"
87,haw,Hawai`i,http://haw.wikipedia.org,Hawaiian,Hawaiian Islands and the U.S. mainland,Hawaiian Islands and the U.S. mainland,24 Thousand
"88,he,עברית,http://he.wikipedia.org,Hebrew,Israel,""Israel, incl. Gaza & West Bank"",11 Million"
"97,hz,Otsiherero,http://hz.wikipedia.org,Herero,""Namibia, Botswana"",""Kunene, Omaheke and Otjozondjupa in Namibia; Ghanzi in Botswana"",270 Thousand"
"89,hi,हिन्दी,http://hi.wikipedia.org,Hindi,""India, South Africa, Nepal"",India,180 Million"
91,ho,Hiri Motu,http://ho.wikipedia.org,Hiri Motu,Papua New Guinea,Papua New Guinea,120 Thousand
"95,hu,Magyar,http://hu.wikipedia.org,Hungarian,""Hungary and areas of Austria, Croatia, Romania, Serbia, Slovakia, Slovenia, Ukraine"",""Hungary and areas of Austria, Croatia, Romania, Serbia, Slovakia, Slovenia, Ukraine"",15 Million"
"106,is,Íslenska,http://is.wikipedia.org,Icelandic,""Iceland, Denmark"",""Iceland, Denmark"",320 Thousand"
105,io,Ido,http://io.wikipedia.org,Ido,Delegation for the Adoption of an International Auxiliary Language,,2 Thousand
"101,ig,Igbo,http://ig.wikipedia.org,Igbo,""Nigeria, Equatorial Guinea"",Equatorial Guinea,24 Million"
"104,ilo,Ilokano,http://ilo.wikipedia.org,Ilokano,Philippines,Philippines,""9,1 Million"""
"99,id,Bahasa Indonesia,http://id.wikipedia.org,Indonesian,""Indonesia, East Timor"",""Indonesia, East Timor"",23 Million"
"108,iu,ᐃᓄᒃᑎᑐᑦ/inuktitut,http://iu.wikipedia.org,Inuktitut,""Canada (Nunavut, Quebec (Nunavik), Northwest Territories, Newfoundland and Labrador (Nunatsiavut))"",""Canada (Nunavut, Quebec (Nunavik), Northwest Territories, Newfoundland and Labrador (Nunatsiavut))"",36 Thousand"
"103,ik,Iñupiak,http://ik.wikipedia.org,Inupiat,""United States, formerly Russia; Northwest Territories of Canada"",Alaska,9.279 Thousand"
"76,ga,Gaeilge,http://ga.wikipedia.org,Irish,""Ireland, United Kingdom, United States, Canada, Australia, Argentina, EU"",""Ireland, United Kingdom, United States, Canada,Australia, Argentina, EU"",""1,9 Million"""
"107,it,Italiano,http://it.wikipedia.org,Italian,""EU, Italy, San Marino, Malta, Switzerland, Vatican City, Slovenia (Slovenian Istria), Croatia (Istria County), Argentina, Brazil, Region (widely known among older people and in commercial sectors in Somalia, Eritrea, and Libya; used in the Federal Government of Somalia in Somalia)"",""Italy, San Marino, Malta, Switzerland, Vatican City, Slovenia (Slovenian Istria), Croatia (Istria County), Argentina, Brazil"",85 Million"
109,ja,日本語,http://ja.wikipedia.org,Japanese,Japan,Japan,125 Million
"111,jv,Basa Jawa,http://jv.wikipedia.org,Javanese,""Indonesia (esp. Java, Kalimantan), Suriname, New Caledonia"",""Indonesia (esp. Java, Kalimantan), Suriname, New Caledonia"",82 Million"
"114,kab,Taqbaylit,http://kab.wikipedia.org,Kabyle,""Algeria; immigrant communities in France, Belgium, Canada and elsewhere"",""Kabylie (Provinces of Algiers, Béjaïa, BBA, Bouira, Boumerdes, Sétif, Tizi Ouzou, and parts of Jijel)"",5-7 Million"
47,csb,Kaszëbsczi,http://csb.wikipedia.org,Kahubian,Poland,Poland,106 Thousand
"257,xal,Хальмг,http://xal.wikipedia.org,Kalmyk Oirat,""Russia, Kalmykia"",,""153,602 in Russia (mostly Kalmykia)[1]; 518,500 tot"""
"121,kn,ಕನ್ನಡ,http://kn.wikipedia.org,Kannada,""India - Karnataka, Kasaragod, Kerala, Maharashtra, Andhra pradesh, Goa, Tamil nadu and significant communities in USA, Australia, Singapore,[1] UK, Mauritius,[2] United Arab Emirates.[3]"",,38 Million"
"123,kr,Kanuri,http://kr.wikipedia.org,Kanuri,""Nigeria, Niger, Chad, Cameroon"",Region Lake Chad,4 Million"
"180,pam,Kapampangan,http://pam.wikipedia.org,Kapampangan ,Philippines,Central Luzon,""1,9 Million"""
"113,kaa,Qaraqalpaqsha,http://kaa.wikipedia.org,Karakalpak,""Uzbekistan, Kazakhstan, Afghanistan, Russia"",""Uzbekistan, Kazakhstan, Afghanistan, Russia"",412 Thousand"
"124,ks,कश्मीरी - (كشميري),http://ks.wikipedia.org,Kashmiri,India (Jammu and Kashmir)  Pakistan (Azad Jammu and Kashmir),Northwestern region of the Indian subcontinent,""5,5 Million"""
"118,kk,Қазақша,http://kk.wikipedia.org,Kazakh,""Kazakhstan, China, Mongolia, Afghanistan, Tajikistan, Turkey, Turkmenistan, Ukraine, Uzbekistan, Russia, Iran Altai Republic"",,11 Million"
"120,km,ភាសាខ្មែរ,http://km.wikipedia.org,Khmer,""Cambodia, Vietnam, Thailand, USA, France, Australia"",Cambodia,16 Million"
"198,rw,Kinyarwanda,http://rw.wikipedia.org,Kinyarwanda,""Rwanda, Uganda, Democratic Republic of the Congo"",,""9,8 Million"""
"193,rn,Kirundi,http://rn.wikipedia.org,Kirundi,""Burundi, Uganda"",,""8,8 Million"""
"127,kv,Коми,http://kv.wikipedia.org,Komi,Russia,""Komi Republic, Perm Krai (Komi-Permyak Okrug, Krasnovishersky Raion)"",390 Thousand"
"115,kg,Kongo,http://kg.wikipedia.org,Kongo,""Angola, Democratic Republic of the Congo, Republic of the Congo"",""Angola, Democratic Republic of the Congo, Republic of the Congo"",12 Million"
"122,ko,한국어,http://ko.wikipedia.org,Korean,""South Korea, North Korea, People's Republic of China"",""South Korea, North Korea, People's Republic of China"",76 Million"
"126,ku,Kurdî / كوردی,http://ku.wikipedia.org,Kurdish,""Turkey, Iran, Iraq, Syria, Armenia, Azerbaijan, Lebanon, Georgia, Germany, France, UK, Sweden, Netherlands, Switzerland, Austria, Greece, Belgium, Denmark, Norway, Italy, Finland, USA, Canada, Australia,"",,21 Million"
117,kj,Kwanyama,http://kj.wikipedia.org,Kwanyama dialect,Namibia and Angola,Region Ovamboland,670 Thousand
"129,ky,Кыргызча,http://ky.wikipedia.org,Kyrgyz,""Kyrgyzstan, Afghanistan, Xinjiang (China), Tajikistan, Russia, Pakistan"",,""2,9 Million"""
"131,lad,Ladino,http://lad.wikipedia.org,Ladin,Italy - Dolomite Mountains,""South Tyrol"
Trentino
"Veneto"",39 Thousand"
133,lbe,Лакку,http://lbe.wikipedia.org,Lak ,Russia,Southern Dagestan,157 Thousand
"139,lo,ລາວ,http://lo.wikipedia.org,Lao ,""Laos, Thailand, U.S., France, Canada, China, Australia, New Zealand, Argentina "",,""5, 2 Million, (20 million if Isan speakers are included)"""
"130,la,Latina,http://la.wikipedia.org,Latino,""America, Parts of Europe"",,"
"141,lv,Latviešu,http://lv.wikipedia.org,Latvian ,""Latvia, EU"
",,1,5 Million""
136,lij,Líguru,http://lij.wikipedia.org,Ligurian,""Italy (Liguria, Piedmont, Tuscany, Lombardy, Emilia-Romagna, Sardinia)"
France (Alpes Maritimes and Corsica)
"Monaco, Argentina (in the neighborhood of La Boca in Buenos Aires)."",,""1,925 Million"""
"135,li,Limburgs,http://li.wikipedia.org,Limburgish,""Netherlands (Limburg), Belgium (Limburg & NE Liege), Germany (Rhineland)"",,""1,3 Million"""
"138,ln,Lingála,http://ln.wikipedia.org,Lingala ,""Democratic Republic of the "
Congo, Republic of the Congo, Central 
"African Republic, Angola"",,""12,5 Million"""
"140,lt,Lietuvių,http://lt.wikipedia.org,Lithuanian ,""Lithuania, Poland, EU"",,""3,2 Million"""
110,jbo,Lojban,http://jbo.wikipedia.org,Lojban,a logically engineered language for various usages,,
"137,lmo,Lumbaart,http://lmo.wikipedia.org,Lombard ,""Italy:[1][2][3]"
Lombardy
Piedmont
Trentino
Switzerland:[1][2][3]
Canton 
Ticino
"Graubünden"",,""3,5 Million"""
"161,nds,Plattdüütsch,http://nds.wikipedia.org,Low German,""Germany, Denmark, Netherlands, Brazil, United States, Canada"",,5 Million"
54,dsb,Dolnoserbski,http://dsb.wikipedia.org,Lower Sorbian,Germany,,7 Thousand
134,lg,Luganda,http://lg.wikipedia.org,Luganda,Uganda,,10 Million
"132,lb,Lëtzebuergesch,http://lb.wikipedia.org,Luxembourgish,""Luxembourg, Belgium, France, Germany"",,320 Thousand"
"147,mk,Македонски,http://mk.wikipedia.org,Macedonian ,""Macedonia, Albania, Bulgaria,[1][2] Greece, Serbia, Macedonian diaspora"",,""3,0 Million"""
"144,mg,Malagasy,http://mg.wikipedia.org,Malagasy ,""Madagascar, Comoros, Mayotte"",,18 Million"
"152,ms,Bahasa Melayu,http://ms.wikipedia.org,Malay ,""Indonesia (as Indonesian)"
Malaysia (as Malaysian)
Brunei
Singapore
Thailand (as Bahasa Jawi)
East Timor (as Indonesian)
Christmas 
Island[1]Cocos 
"(Keeling) Islands"",,77 Million"
148,ml,മലയാളം,http://ml.wikipedia.org,Malayalam,Primarily in the Indian state of Kerala,,38 Million
55,dv,ދިވެހިބަސް,http://dv.wikipedia.org,Maldivian,Maladives,Maladives,371 Thousand
"153,mt,Malti,http://mt.wikipedia.org,Maltese ,""Malta, EU"",,400 Thousand"
84,gv,Gaelg,http://gv.wikipedia.org,Manx,UK Isle of Man,Isle of Man,1823 People
146,mi,Māori,http://mi.wikipedia.org,Māori ,New Zealand,,157 Thousand
"151,mr,मराठी,http://mr.wikipedia.org,Marathi ,""India, Maharashtra, Goa, Karnataka, Madhya Pradesh, Chhattisgarh parts of Gujarat, Andhra Pradesh, Tamilnadu, Dadra & "
Nagar Haveli, and Daman 
"& Diu"",,73 Million"
"157,mzn,مَزِروني,http://mzn.wikipedia.org,Mazanderani ,""Iran, province of Mazandaran and parts of the provinces of Alborz, Tehran, Semnan and Golestan"",,""3,3 Million"""
